
Host: rho

DFMP2 Metric:       0.43u       0.01s 0.10935200w      1 call
DFMP2 Aia Read:       0.01u       0.00s 0.00164400w      1 call
DFMP2 (Q|A)(A|ia):       0.14u       0.02s   0.039725w      2 calls
DFMP2 Qia Write:       0.01u       0.00s 0.00339100w      1 call
DFMP2 Qia Read:       0.02u       0.00s   0.002733w      3 calls
DFMP2 Bia Write:       0.00u       0.01s 0.00314600w      1 call
DFMP2 aiQ   :       0.03u       0.01s 0.00857100w      1 call
DFMP2 Tij   :       0.69u       0.03s 0.18746700w      1 call
DFMP2 Cia Read:       0.02u       0.01s   0.002290w      2 calls
DFMP2 I     :       0.51u       0.00s   0.132102w      2 calls
DFMP2 T2    :       0.05u       0.00s   0.012347w      2 calls
DFMP2 G     :       0.26u       0.00s 0.06600000w      1 call
DFMP2 Pab   :       0.08u       0.00s 0.02176000w      1 call
DFMP2 Gia Write:       0.01u       0.00s 0.00313400w      1 call
DFMP2 Tab   :       0.38u       0.01s 0.09721300w      1 call
DFMP2 Qai Read:       0.01u       0.00s   0.001776w      2 calls
DFMP2 Pij   :       0.03u       0.00s 0.00729000w      1 call
DFMP2 gamma :       0.09u       0.01s 0.02650500w      1 call
DFMP2 Gia Read:       0.00u       0.00s   0.002131w      2 calls
DFMP2 g     :       0.07u       0.01s 0.01967800w      1 call
DFMP2 Gia   :       0.06u       0.01s 0.01779800w      1 call
DFMP2 aiG Write:       0.01u       0.00s 0.00287800w      1 call
DFMP2 AB^x  :       0.25u       0.02s 0.06708100w      1 call
DFMP2 Amn^x :       2.03u       0.03s 0.52146600w      1 call
DFMP2 L     :       0.96u       0.03s 0.24869300w      1 call
DFMP2 P     :       0.00u       0.00s 0.00212500w      1 call
DFMP2 W     :       0.01u       0.00s 0.00202800w      1 call
DFMP2 Z     :       2.93u       0.05s 0.74744800w      1 call

***********************************************************

Host: rho

Timers On : Thu May 16 14:48:38 2019
Timers Off: Thu May 16 14:49:39 2019

Wall Time:       61.00 seconds

JK: (A|mn)  :       1.01u       0.00s   0.253606w      5 calls
JK: (A|Q)^-1/2:       1.09u       0.05s   0.282326w      5 calls
JK: (Q|mn)  :       0.42u       0.00s   0.107350w      5 calls
HF: Form H  :       0.02u       0.00s 0.00633000w      1 call
HF: Form S/X:       0.01u       0.00s 0.00203400w      1 call
HF: Guess   :       1.21u       0.04s 0.31264900w      1 call
SAD Guess   :       1.20u       0.04s 0.31043800w      1 call
JK: D       :       0.01u       0.00s   0.001267w     45 calls
JK: USO2AO  :       0.00u       0.00s   0.000443w     45 calls
JK: JK      :       2.61u       0.04s   0.665007w     45 calls
JK: J       :       0.31u       0.00s   0.084929w     45 calls
JK: J1      :       0.14u       0.00s   0.043707w     63 calls
JK: J2      :       0.16u       0.00s   0.039692w     63 calls
JK: K       :       2.20u       0.03s   0.553454w     45 calls
JK: K1      :       1.45u       0.01s   0.369108w     73 calls
JK: K2      :       0.75u       0.02s   0.183788w     61 calls
JK: AO2USO  :       0.00u       0.00s   0.000055w     45 calls
DIISManager::add_entry:       0.00u       0.00s   0.003797w     31 calls
DIISManager::extrapolate:       0.04u       0.00s   0.006916w     30 calls
DIISManager::extrapolate: bMatrix setup:       0.01u       0.00s   0.002918w     30 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.000766w     30 calls
DIISManager::extrapolate: form new data:       0.02u       0.00s   0.003097w     30 calls
HF: Form G  :       1.03u       0.02s   0.264620w     15 calls
HF: Form F  :       0.00u       0.00s   0.000447w     15 calls
HF: DIIS    :       0.04u       0.00s   0.018448w     15 calls
HF: Form C  :       0.16u       0.00s   0.031739w     15 calls
HF: Form D  :       0.00u       0.00s   0.000470w     15 calls
DFMP2 Singles:       0.00u       0.00s 0.00038000w      1 call
DFMP2 Aia   :       0.82u       0.02s 0.21175100w      1 call
DFMP2 (A|mn):       0.35u       0.00s 0.08653500w      1 call
DFMP2 (A|mn)C_mi:       0.05u       0.00s 0.01337400w      1 call
DFMP2 (A|mi)C_na:       0.01u       0.00s 0.00226600w      1 call
DFMP2 Aia Write:       0.01u       0.00s 0.00299000w      1 call
DFMP2 iaQ   :       0.62u       0.02s 0.16384600w      1 call
DFMP2 Metric:       0.42u       0.01s 0.10982900w      1 call
DFMP2 Aia Read:       0.00u       0.01s 0.00160300w      1 call
DFMP2 (Q|A)(A|ia):       0.15u       0.00s   0.039504w      2 calls
DFMP2 Qia Write:       0.02u       0.00s 0.00327500w      1 call
DFMP2 Qia Read:       0.01u       0.00s   0.002659w      3 calls
DFMP2 Bia Write:       0.01u       0.00s 0.00293300w      1 call
DFMP2 aiQ   :       0.03u       0.01s 0.00874100w      1 call
DFMP2 Tij   :       0.71u       0.03s 0.18854800w      1 call
DFMP2 Cia Read:       0.00u       0.00s   0.002156w      2 calls
DFMP2 I     :       0.50u       0.01s   0.131384w      2 calls
DFMP2 T2    :       0.06u       0.00s   0.012013w      2 calls
DFMP2 G     :       0.26u       0.00s 0.06613200w      1 call
DFMP2 Pab   :       0.08u       0.01s 0.02185200w      1 call
DFMP2 Gia Write:       0.01u       0.00s 0.00315200w      1 call
DFMP2 Tab   :       0.37u       0.02s 0.09713600w      1 call
DFMP2 Qai Read:       0.01u       0.00s   0.001762w      2 calls
DFMP2 Pij   :       0.03u       0.00s 0.00729300w      1 call
DFMP2 gamma :       0.10u       0.00s 0.02582200w      1 call
DFMP2 Gia Read:       0.01u       0.00s   0.002163w      2 calls
DFMP2 g     :       0.08u       0.00s 0.01973700w      1 call
DFMP2 Gia   :       0.06u       0.01s 0.01787800w      1 call
DFMP2 aiG Write:       0.01u       0.00s 0.00309300w      1 call
DFMP2 AB^x  :       0.24u       0.02s 0.06686400w      1 call
DFMP2 Amn^x :       2.03u       0.04s 0.51606200w      1 call
DFMP2 L     :       0.94u       0.04s 0.24893900w      1 call
DFMP2 P     :       0.01u       0.00s 0.00216600w      1 call
DFMP2 W     :       0.00u       0.01s 0.00213400w      1 call
DFMP2 Z     :       3.00u       0.05s 0.76505000w      1 call

***********************************************************
