
Host: rho

Timers On : Wed May 15 11:49:41 2019
Timers Off: Wed May 15 11:50:50 2019

Wall Time:       69.20 seconds

| JK: USO2AO                :      0.000u      0.000s      0.000w     11 calls
| JK: JK                    :      0.083u      0.000s      0.047w     11 calls
| | JK: J                   :      0.000u      0.000s      0.002w     11 calls
| | | JK: J1                :      0.000u      0.000s      0.001w     11 calls
| | | JK: J2                :      0.000u      0.000s      0.001w     11 calls
| | JK: K                   :      0.083u      0.000s      0.043w     11 calls
| | | JK: K1                :      0.050u      0.000s      0.035w     11 calls
| | | JK: K2                :      0.033u      0.000s      0.008w     11 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                    :      0.000u      0.000s      0.003w     11 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.002w     10 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.001w      9 calls
| | bMatrix setup           :      0.000u      0.000s      0.000w      9 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      9 calls
| | New vector              :      0.000u      0.000s      0.000w      9 calls
HF: Form C                  :      0.000u      0.000s      0.003w     11 calls
HF: Form D                  :      0.000u      0.000s      0.000w     11 calls

***********************************************************

Host: rho

Timers On : Tue May 21 09:37:19 2019
Timers Off: Tue May 21 09:37:27 2019

Wall Time:        8.09 seconds

JK: (A|mn)                  :      0.100u      0.000s      0.068w      1 calls
JK: (A|Q)^-1/2              :      0.100u      0.000s      0.059w      1 calls
JK: (Q|mn)                  :      0.017u      0.000s      0.009w      1 calls
HF: Form H                  :      0.000u      0.000s      0.010w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.183u      0.000s      0.114w      1 calls
SAD Guess                   :      0.183u      0.000s      0.112w      1 calls
HF: Form G                  :      0.083u      0.000s      0.050w     11 calls
JK: D                       :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     11 calls
JK: JK                      :      0.083u      0.000s      0.050w     11 calls
JK: J                       :      0.000u      0.000s      0.003w     11 calls
JK: J1                      :      0.000u      0.000s      0.002w     11 calls
JK: J2                      :      0.000u      0.000s      0.001w     11 calls
JK: K                       :      0.067u      0.000s      0.045w     11 calls
JK: K1                      :      0.067u      0.000s      0.037w     11 calls
JK: K2                      :      0.000u      0.000s      0.009w     11 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                    :      0.000u      0.000s      0.004w     11 calls
DIISManager::add_entry      :      0.000u      0.000s      0.002w     10 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.001w      9 calls
bMatrix setup               :      0.000u      0.000s      0.000w      9 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      9 calls
New vector                  :      0.000u      0.000s      0.000w      9 calls
